position_id,date,actor_type,actor_id,actor_name_zh,source_type,source_ref,stance_axis_id,stance_position,stance_label,position_text_zh,related_pi,related_articles,ingest_date
AP-aabe-2026-special-school,2026-05,ngo,AABE,國教行動聯盟（AABE）,public_statement,governance/axis4_position_statement.md,SA-edu-inclusion,30,preserve_with_quality,（AABE）支持保留特教學校為多元安置選項之一，同時提升各層級品質。反對單向 phase-out。,PI-13,A24,2026-05-01
AP-cw-2022-bully,2022-06,ngo,SR-2022-covenant_watch,人權公約施行監督聯盟（22 團體）,shadow_report,src-2022-shadow-22ngos,SA-edu-inclusion,-50,school_response_critical,（2022）22 團體關切：學校對身心障礙兒童常採取訓斥、強制離班、聯繫警消等措施，違反 §16（免於暴力）與 §7（兒童最佳利益）。應建立反歧視與合理調整制度。,PI-14,"A7,A16,A24",2026-05-01
AP-autism-2022-bully,2022-06,ngo,SR-2022-autism_society,中華民國自閉症總會,public_statement,TBD,SA-edu-inclusion,0,support_with_training,（公開立場）自閉症總會主張：融合教育是方向，但學校教師對自閉症兒少之了解與專業支持嚴重不足。應大幅強化教師專業培訓與校內結構化支持。,PI-14,"A7,A24",2026-05-01
AP-aabe-2026-bully,2026-05,ngo,AABE,國教行動聯盟（AABE）,public_statement,governance/axis4_position_statement.md,SA-edu-inclusion,0,balanced_safety,（AABE）支持身障兒少校園安全資料系統建立 + 教師專業培訓 + 同儕意識教育 + 家長申訴管道公開透明。反對倉促融合而品質配套不足。,PI-14,"A7,A16,A24",2026-05-01
AP-medicalization-critic-2022,2022-06,academic,academic-medicalization-critic,醫療化批評學派（國際）,academic_article,TBD,SA-medicalization,-80,medicalization_critic,（學界）Allan Frances（DSM-IV 主編）、Sami Timimi、Peter Conrad 等：DSM-5 標準擴張使盛行率上升，兒少 ADHD 處方藥用藥率上升須警覺。,PI-16,"A1,A25",2026-05-01
AP-underdiagnosis-2022,2022-06,academic,academic-underdiagnosis,不足診斷批評派,academic_article,TBD,SA-medicalization,75,underdiagnosis_critic,（學界）Tony Attwood、Lorna Wing：過去診斷標準偏向男性、白人男孩，女性 / 成人 / 弱勢族群診斷不足。早期識別有助長期適應。,PI-16,"A1,A7,A25",2026-05-01
AP-neurodiversity-2022,2022-06,academic,academic-neurodiversity,神經多樣性派,academic_article,TBD,SA-medicalization,0,neurodiversity,（學界）Judy Singer、Steve Silberman 等：不應病理化神經差異，支持應與身分認同並行，反對『治癒』模式。,PI-16,"A1,A2",2026-05-01
AP-aabe-2026-medicalization,2026-05,ngo,AABE,國教行動聯盟（AABE）,public_statement,governance/axis4_position_statement.md,SA-medicalization,20,balanced_diagnosis,（AABE）支持早期識別 + 適當支持 + 處方率時序透明。關注診斷標準變更對盛行率之影響、家長監護權保護、神經多樣性社群自我認同尊重。反對診斷工具化以削弱家長教養權。,PI-16,"A1,A7,A25",2026-05-01
AP-cw-2022-overall,2022-06,ngo,SR-2022-covenant_watch,人權公約施行監督聯盟（22 團體）,shadow_report,src-2022-shadow-22ngos,SA-edu-inclusion,-50,comprehensive_implementation,（2022 平行報告）22 團體主張：政府在 CRPD 全面實施方面進度不足，特別是 §12 / §19 / §24 等核心條款未根本改革。,PI-01,A4,2026-05-01
AP-cw-2022-unfulfilled,2022-06,ngo,SR-2022-covenant_watch,人權公約施行監督聯盟（22 團體）,shadow_report,src-2022-shadow-22ngos,SA-edu-inclusion,-50,track_unfulfilled,（2022）22 團體系統盤點 2017 CO 中未兌現之主要條目，要求政府制定具體時程兌現。,PI-02,A4,2026-05-01
AP-aabe-2026-third,2026-05,ngo,AABE,國教行動聯盟（AABE）,public_statement,ROADMAP.md,SA-edu-inclusion,30,third_review_prep,（AABE）支持殘聯等聯盟為 2027 第三次審查動員 + 主張影子報告納入軸四教育選擇權多元主張。,PI-03,A35,2026-05-01
AP-aabe-2026-intl,2026-05,ngo,AABE,國教行動聯盟（AABE）,public_statement,PI-04 .md,SA-edu-inclusion,30,international_comparison,（AABE）採 6 國對照（JP/KR/DE/CA/AU/NZ）以建立 §24 教育權多元路徑之國際正當性。,PI-04,A24,2026-05-01
AP-cw-2022-nap,2022-06,ngo,SR-2022-covenant_watch,人權公約施行監督聯盟（22 團體）,shadow_report,src-2022-shadow-22ngos,SA-edu-inclusion,-30,comprehensive_strategy,（2022）22 團體建議發展全面身障策略，由 NHRC 獨立監督。,PI-05,"A4,A33",2026-05-01
AP-nhrc-self-2022,2022-06,international_body,nhrc,國家人權委員會（NHRC）,shadow_report,CRPD_2th_LOIs_PR_NHRC_TC.pdf,SA-edu-inclusion,0,independent_monitoring,（2022 NHRC 平行回復）NHRC 主張：將強化對 CRPD 之獨立監督，建立年度報告制度。,PI-06,A33,2026-05-01
AP-cw-2022-budget,2022-06,ngo,SR-2022-covenant_watch,人權公約施行監督聯盟（22 團體）,shadow_report,src-2022-shadow-22ngos,SA-deinstitutionalization,-80,shift_to_community,（2022）22 團體主張：身障預算應從機構式照顧轉向社區式支持服務。,PI-07,"A19,A28",2026-05-01
AP-mohw-2022-stats,2022-12,government_dept,mohw_sf,衛生福利部社會及家庭署,government_white_paper,src-2022-state-ch,SA-edu-inclusion,30,icf_statistics,（政府）衛福部統計處發布身心障礙者人數年度資料，採 ICF 8 大類分類。,PI-08,A31,2026-05-01
AP-multi-2022-caregiver,2022-06,ngo,SR-2022-multiple_handicap,中華民國多障家長協會,public_statement,TBD,SA-deinstitutionalization,60,family_support_first,（公開立場）多障家長協會主張：政府單向推動去機構化忽略家庭照顧者實際負荷。應強化喘息、個人助理員、家照支持服務。,PI-11,"A19,A23",2026-05-01
AP-nhrc-2022-001,2022-06,international_body,nhrc,國家人權委員會（NHRC）,shadow_report,src-2022-nhrc-parallel,SA-edu-inclusion,0,nhrc_independent_review,（NHRC 對 LOI 第 1 題）中文回應： 一、NHRC 重申，目前針對身心障礙者資格的認定與障礙等級的判定仍忽視環境 因素，且現金補助及福利服務的提供係以鑑定結果及障礙等級認定，而非依 身心障礙者實際需求，不符合社會模式及人權模式。衛生福利部針對前述問 題，已完成身心障礙鑑定資料庫分析，就身體功能及構造（bs 碼等級）及「活 動參與及環境因素」 （de 碼）分數有明顯落差之障礙類別，作為障礙等級調 整之參考，並已蒐集專家學者及相關團體意見，將據以啟動相關法制作業， NHRC 將持續關注其後續辦理情形。針對現金補助（包括生活補助、保費補 助、遺產稅身心障礙特別扣除額等）與服務提供未與鑑定結果脫勾問題，衛 生福利部仍稱，考量民眾障礙程度涉及日常生活（含照顧費用）花費，且影 響人數甚廣，現階段有調整困難，而暫無法脫勾。NHRC 認為，為落實應依 身心障礙者需求來提供福利服務及補助，該部仍應持續建立跨部會研商機制， 共同檢視評估及凝聚各界共識。 二、政府迄今未將拒絕合理調整即構成歧視入法，NHRC 認為， 《CRPD》既已明 定國家負有合理調整之義務，於法規完成修訂前，政府仍應儘早參酌世界先 進國家作法，蒐集相關案例，建立我國合理調整義務及違反效果等相關原則 規範及協商程序，並研訂相關指引手冊及督導考核計畫，供所屬機關及民間 部門遵循及落實。 三、我國尚未建立障礙主流化推動機制以將障礙者觀點及需求納入國家法律、政 策及計畫，衛生福利部僅稱將配合「國家人權行動計畫」之整體規劃建立法 案及中長程個案計畫之人權影響評估標準機制，「身心障礙權利政策及法案 影響評估表」迄今仍屬草案性質，尚無建立機制全面監督身心障礙相關政策 及法案符合《CRPD》規定，無法確保各機關於擬訂及推動重要計畫及法律 案時，均能將身心障礙者平權觀點融入政策發展及執行過程；又依 2022 年 5 月公布之「國家人權行動計畫」，有關身心障礙者人權相關之指標僅涵蓋 合理調整納入法規及概念推廣、推動無障礙環境、提升資訊可及性等，缺乏 適當計畫確保政府承擔《CRPD》相關義務。 B. 具體權利 （第 5–30 條）,"PI-01,PI-05","A1,A2,A3,A4",2026-05-01
AP-nhrc-2022-002,2022-06,international_body,nhrc,國家人權委員會（NHRC）,shadow_report,src-2022-nhrc-parallel,SA-edu-inclusion,0,nhrc_independent_review,（NHRC 對 LOI 第 2 題）中文回應： 一、我國反歧視之相關規定散見於各法律中，政府應檢討現行個別法律落實反歧 視之狀況，並審慎評估制定綜合性之反歧視法或平等法是否足以確保全面性 消除對身心障礙者的多重及交叉歧視。 二、政府迄今未將拒絕合理調整即構成歧視入法，政府雖已研擬《身心障礙者權 益保障法》部分條文修正草案納入合理調整相對應條文，《特殊教育法》全 案修正草案亦將合理調整義務、拒絕合理調整即構成歧視等規定納入，惟迄 今尚未送立法院審議，尚無法確認是否明確定義合理調整義務範圍、拒絕合 理調整之懲處機制及救濟管道。,"PI-09,PI-12",A5,2026-05-01
AP-nhrc-2022-003,2022-06,international_body,nhrc,國家人權委員會（NHRC）,shadow_report,src-2022-nhrc-parallel,SA-edu-inclusion,0,nhrc_independent_review,（NHRC 對 LOI 第 3 題）中文回應： 一、NHRC 認為，2021 年修訂之「性別平等政策綱領」仍未提出有關全面性改善 身心障礙婦女不利處境之具體計畫及策略，未訂定積極措施，確保身心障礙 婦女免遭多重及交叉歧視；確保其能力發展、地位提升及賦權等，仍未符合 《CRPD》第 3 號一般性意見。 二、勞動部多年來推動之促進就業措施，對於身心障礙女性之特殊需求及多重不 利處境仍欠缺具體對策，未能改善障礙女性長期存在低勞動力參與率、高失 業率及低薪等問題，NHRC 再次強調，國家應以促進障礙女性的職業訓練、 穩定就業、同值同酬等為目標，採取積極性差別待遇措施。 三、身心障礙女性及兒童屬遭家庭暴力、性侵害高危險群，但支持服務資源卻未 能關注其多重弱勢處境及特殊需求，主管機關對於安置於庇護處所的身心障 礙女性，其申請各項支持服務之比例偏低情形，未能主動探究原因，其中有 否受到安置機構服務人員認知、障礙者意願及表達能力等障礙因素影響， NHRC 重申，政府應全面檢視各項求助管道、庇護安置及相關支持服務措施， 確保全面無障礙，且應滿足不同障別障礙者的差異需求，並加強服務提供者 之性別與障礙敏感度。,PI-06,A6,2026-05-01
AP-nhrc-2022-004,2022-06,international_body,nhrc,國家人權委員會（NHRC）,shadow_report,src-2022-nhrc-parallel,SA-edu-inclusion,0,nhrc_independent_review,（NHRC 對 LOI 第 4 題）中文回應： 一、NHRC 發現，2019 年衛福部或各縣市身心障礙者權益保障小組成員皆未納 入身心障礙兒少代表，可見國家在身心障礙兒少的表意權仍未有充分的保障 (詳 NHRC《CRC》第二次國家報告獨立評估意見第 59 點)。國家在 2020 年 修正的《特殊教育法施行細則》，在訂定個別化教育計畫參與人員時，納入 學生本人，惟主管機關應瞭解目前身心障礙學生參與情形，並提醒學校應提 供表意時支持服務及策略。各級政府應依據《CRPD》第 7 號一般性意見、 《兒童權利公約》第 12 條及其第 9 號一般性意見，以適性教材、教法及支 持服務，培養身心障礙兒童表達之能力，讓身心障礙兒童有代表可以參與決 策，保障其表達意見及獲得尊重之權利。 二、在初次國家報告結論性意見已提到，針對隔離式特殊教育學校不定期發生身 心障礙兒童性別暴力事件應確實調查、救濟。NHRC 詢問中央主管機關教育 部，針對 2016 年至 2018 年發生 15 件同性質性平事件，教育部表示前述案 件係發生在宿舍，為同性學生之間青春期間因衝動、好奇引發。NHRC 重申， 教育主管機關在統計分析上，未能確切瞭解特殊教育學校的身心障礙兒童遭 受性別暴力的詳細資訊及實際樣貌，此外，也應進一步瞭解學校是否有針對 聽覺障礙、視覺障礙、心智障礙等學生採取適性教學，以及在學校教職人員 在面對身心障礙學生發生此類事件時，其專業知能及應變能力是否足夠等。,PI-14,A7,2026-05-01
AP-nhrc-2022-005,2022-06,international_body,nhrc,國家人權委員會（NHRC）,shadow_report,src-2022-nhrc-parallel,SA-edu-inclusion,0,nhrc_independent_review,（NHRC 對 LOI 第 5 題）中文回應： 一、我國對於廣播、電視業者製播新聞及節目內容之監督，高度仰賴業者自律及 民眾監督，惟大眾傳播媒體對於身心障礙者各種負面刻板印象及歧視用語之 情形持續存在，政府對於媒體報導及電視節目製播與身心障礙者有關議題， 尚未建立具體準則，NHRC 建議中央主管機關應針對廣播及電視業者新聞報 導及電視節目製播（包括新聞、娛樂、戲劇、綜藝等類別）訂定準則，避免 歧視性或偏見內容，並應要求業者落實內控及編審自律機制。 二、政府目前尚無對於網路媒體、社群媒體等新興傳播媒體涉及對身心障礙者歧 視性報導之法規範及罰則，網路媒體及社群之言論仍處執法之灰色地帶。國 家通訊傳播委員會之《數位中介服務法》草案，針對網路平臺業者、社群平 臺擬訂規管措施，後續將召開說明會及公聽會，聽取公協會與產業意見， NHRC 將持續關注主管機關後續推動立法情形。 三、政府相關機關雖每年對於司法人員、警察人員等《CRPD》相關教育訓練， 並持續補助各地方政府及民間團體協力辦理意識提升活動，但對於提升該等 人員障礙意識及知能仍未見顯著成效，如檢警偵訊、法院或檢察機關訴訟程 序進行時，相關服務與設施設備往往仍忽略身心障礙者的需求與權益。,PI-06,A8,2026-05-01
AP-nhrc-2022-006,2022-06,international_body,nhrc,國家人權委員會（NHRC）,shadow_report,src-2022-nhrc-parallel,SA-edu-inclusion,0,nhrc_independent_review,（NHRC 對 LOI 第 6 題）中文回應： 一、無障礙法規命令及行政措施分散於不同機關主管，亦缺乏明訂具體目標及規 劃期程之全面性計畫，致中央政府機關及地方政府推動無障礙設施及服務之 執行效力不一，NHRC 認為與《CRPD》第 2 號一般性意見有違。 二、我國《著作權法》雖已符合《馬拉喀什條約》要求，允許以視覺障礙者可接 觸之格式，重製、散布已公開發表之著作，或將其對視覺障礙者提供；《圖 書館法》亦訂有圖書特殊版本徵集轉製提供之規範，惟視覺障礙者可取得之 數位書籍仍有限，鑒於《馬拉喀什條約》主要以鼓勵各方建立平臺、分工合 作、資源共享及跨境流通，以利視障者接觸資訊，NHRC 建議，相關機關評 估結合民間資源，建立合作平臺，積極促進專供視障者使用之數位圖書資源 之徵集與轉製，以促進視障者公平閱讀權益及資訊接收機會。 三、衛生福利部於 2022 年 2 月出版《臺灣易讀參考指南》 ，NHRC 建議該部研訂 推廣計畫，規劃具體作法及期程，協助各政府機關出版品及網頁建置易讀格 式資訊。,PI-08,A9,2026-05-01
AP-nhrc-2022-007,2022-06,international_body,nhrc,國家人權委員會（NHRC）,shadow_report,src-2022-nhrc-parallel,SA-edu-inclusion,0,nhrc_independent_review,（NHRC 對 LOI 第 7 題）中文回應： 一、NHRC 認為，現今執行死刑作業流程，能否全盤周妥瞭解死刑定讞受刑人之 身心狀況，與《公民與政治權利國際公約》第 36 號一般性意見第 49 點意旨 是否相符，尚有疑義。 二、依據《CRPD》第 12 條及《CRPD》第 1 號一般性意見，明確禁止以心智能 力作為否定法律能力之理由，以避免自由權、隱私權、醫療權及其他基本人 權受有不當之侵害，故病人之醫療自主及善終權益不應存在任何形式之歧視 待遇。惟依現行《病人自主權利法》第 8 條規定，完全行為能力人得為預立 醫療決定，而受監護宣告之人則被排除在外，顯已造成非必要且不合理之差 別待遇，違背公約保障平等權之精神。又依《CRPD》第 22 條規定，身心障 礙者之個人、健康與復健資訊之隱私，應在與他人平等之基礎上受到保障， 故受輔助宣告之人之醫療資訊，其輔助人應僅於履行法定義務之必要範圍內 享有知情權。現行《病人自主權利法》第 5 條第 2 項強制規定將受輔助宣告 之人之醫療資訊告知其關係人，恐與民法輔助宣告制度之立法目的不符，亦 有侵害自主權益、干預個人隱私之虞。,PI-06,A10,2026-05-01
AP-nhrc-2022-008,2022-06,international_body,nhrc,國家人權委員會（NHRC）,shadow_report,src-2022-nhrc-parallel,SA-edu-inclusion,0,nhrc_independent_review,（NHRC 對 LOI 第 8 題）中文回應： 一、依我國「災害防救基本計畫」，各中央及地方政府災害防救業務主管機關應 研擬關於降低弱勢與低所得族群災害損失之防救災對策，檢討並納入災害防 救業務計畫及地區災害防救計畫內容，經監察院調查後，2020 年起各級政 府災害防救計畫均已邀請障礙者及其代表團體參與計畫修訂過程，NHRC 認 為，行政院應就落實情形加強督導及查核，NHRC 將持續關注後續落實情形。 二、NHRC 呼籲各級政府在疫情期間採行之措施應具有障礙融合觀點，確保身心 障礙者獲得平等的協助與保障，而非因其障礙因素被體制忽略、遺漏甚至隔 離。各級政府因防疫中斷之法定支持服務應有具體配套措施，自行辦理或結 合民間資源提供疫情期間必要之人力協助，並提供足夠的防疫物資與防護裝 備，而非僅由個別家庭承擔照顧責任；政府規劃的紓困措施，亦應考量障礙 者所得收入情形與部分工作的特殊性。 三、現行我國對於各類型災害防救宣導、災情資訊傳遞及災害防救演習計畫未依 不同障別障礙者差異性需求規劃，NHRC 再次強調，相關資訊應以適用不同 障別之無障礙格式提供，提升資訊之易讀性及可及性，政府亦應針對不同障 別之障礙者制定詳細之災害防救演練指引，並邀請各障別障礙者實際參與演 練。,PI-06,A11,2026-05-01
AP-nhrc-2022-009,2022-06,international_body,nhrc,國家人權委員會（NHRC）,shadow_report,src-2022-nhrc-parallel,SA-edu-inclusion,0,nhrc_independent_review,（NHRC 對 LOI 第 9 題）中文回應： 一、依據《CRPD》第 12 條及《CRPD》第 1 號一般性意見，國家必須為身心障 礙者提供各種正式及非正式之支持安排，以身心障礙者可理解方式提供資訊 及溝通，讓病人對其自身病情及治療方式有知情同意之權利，並尊重本人之 意願及選擇，自願性作成意思決定。在衛生福利部於 2022 年 1 月 13 日公 布修正草案版本：第 45 條將受監護宣告或輔助宣告者，加註「應以其可理 解方式提供資訊」 ，並應取得其監護人或輔助人同意；另修正條文草案第 58 條（現行條文第 46 條） ，刪除現行條文在強制社區治療原規定「得以不告知 嚴重病人之方式為之」，惟目前立法院尚在審議中，NHRC 持續關注。 二、國家報告雖提及司法院法官學院每年均對司法人員辦理身心障礙者權益保 障相關訓練課程，但司法單位判決仍強調「最佳利益」原則，而非以身心障 礙者本人的意願與偏好，作為法院裁決的根據，NHRC 建議，司法單位應收 集其他國家如何落實公約，改善國內制度與調整法律規定，以保障身心障礙 者司法近用權的政策與做法，以及相關判例等，細緻規劃適當且實用的教育 訓練，積極提升法官人權意識與知能。 三、監察院調查指出，我國政府對於《CRPD》所欲建立「支持性決策」制度之 政策研擬付之闕如，主管機關尚未充分理解《CRPD》所稱之支持性決策與 替代性決策之根本性差異，NHRC 認為，主管機關應著手蒐集先進國家的作 法，逐步實施改進，有計畫地建構「支持性決策」的制度，使其更符合《CRPD》 之要求。 四、監察院調查指出，身心障礙者至金融機構申辦開戶等金融業務，普遍遭遇困 境，如視障或肢障人士受限於無法簽名；或腦性麻痺者因口語（齒）表達有 其障礙等，需仰賴電腦科技設備協助，方能反覆確認其意思表示；又倘為心 智障礙等障礙類別，其意思表示需反覆確認或表達能力不順暢，金融機構在 未給予充分且必要協助措施下，逕自認定意思表示存有瑕疵，建議當事人辦 理監護宣告或輔助宣告，該等建議已違反《CRPD》第 12 條。NHRC 認為， 主管機關應研擬相關政策，建立支持性決策的機制來協助障礙者取得金融服 務，應依不同身心障礙類別之需求，擬訂合理調整之參考準則，供金融機構 遵循，以達成尊重身心障礙者的個人自主及決策能力。 五、立法院 2022 年 1 月 27 日三讀修正通過《刑法》第 87 條條文，在現行監護 期間最長 5 年外，增訂延長監護期間規定，第 1 次為 3 年以下，第 2 次以後 每次延長期間為 1 年以下，無次數限制。執行或延長期間內，應每年評估有 無繼續執行的必要。NHRC 認為，修法後監護處分延長無次數、時間限制， 不僅遠離整合性照護的理想、無法確保受處分人之醫療權益，更使得受處分 人精神健康狀態因為長期機構化影響而惡化，對經過長時間監護處分無明顯 降低再犯危險之被治療者，政府應規劃促進其復歸社會的配套機制。,PI-15,"A12,GC1",2026-05-01
AP-nhrc-2022-010,2022-06,international_body,nhrc,國家人權委員會（NHRC）,shadow_report,src-2022-nhrc-parallel,SA-edu-inclusion,0,nhrc_independent_review,（NHRC 對 LOI 第 10 題）中文回應： 一、政府雖於《憲法法庭審理規則》 、 《辦理民事訴訟事件應行注意事項》 、 《辦理 行政訴訟事件應行注意事項》訂有程序調整相關規範，但著重遠距訊問審理 及文書傳送、就審應訴準備時間調整、傳譯及科技設備協助等，尚未完全符 合《CRPD》第 13 條要求之提供程序調整與適齡措施。NHRC 建議司法院參 照聯合國發布之《障礙者近用司法之國際原則與指引》，檢視相關規則，以 確保為障礙者提供適應性別和年齡的個人化程序調整，並將各障別需求納入 考量，包括建立獨立中間人或協助人系統、調整聽證程序以確保障礙者得到 公平對待和充分參與、提供合適的環境和交流協助等。 二、NHRC 建議司法院參照聯合國發布之《障礙者近用司法之國際原則與指引》 ， 全面檢視相關設施與服務之可及性，確保障礙者在平等的基礎上參與各項司 法程序及擔任各項角色（包括法官、律師、陪審員、證人、國民法官等）， 相關改善計畫亦應訂定具體目標及期程。並參照該原則與指引，對於法官及 各該司法程序相關工作者實施關於障礙者權利、合理調整及程序調整之培訓， 培訓教材規劃過程應徵詢身心障礙者及其代表組織意見，針對培訓計畫實質 影響與成效亦應建立評核機制，非僅限場次及參與人次等量化統計。 三、依我國《法院特約通譯約聘辦法》，手語司法通譯人員應具政府機關核發之 手語翻譯檢定合格證明，但未要求至少應具備乙級檢定資格，NHRC 建議， 政府應設定檢定門檻提升通譯人員的專業度，以確保障礙者的司法近用權。,PI-15,A13,2026-05-01
AP-nhrc-2022-011,2022-06,international_body,nhrc,國家人權委員會（NHRC）,shadow_report,src-2022-nhrc-parallel,SA-edu-inclusion,0,nhrc_independent_review,（NHRC 對 LOI 第 11 題）中文回應： 一、《精神衛生法》現行修正草案版本，將現行第 41 條、第 42 條（修正草案條 文第 60 條、61 條）強制住院限制人身自由之處分，從原有「審查會」改為 「法官保留原則」，並增列停止緊急安置、撤回強制住院聲請之事由；然在 修正草案第 55 條「強制社區治療」 ，仍維持由醫師診斷向審查會申請許可後 即可實施，NHRC 認為亦應採用法官保留原則。 二、在社區支持體系的建構，本次修法草案第 3 條及 23 條，提供文字定義，惟 有關病友出院準備計畫轉銜機制、社區心理衛生中心職責是否包含資源整合， 以及地方政府所應賦予的職責，均未明確敘明。,PI-15,A14,2026-05-01
